date,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2021-01-01,44570.30217391305,1.0251169500000001e6,46318.02,42417.51,1339.1452184677582,3900.5099999999948,0.9622670004873493,1.0392126088637983
2021-01-02,41595.758333333324,998298.1999999998,45845.89,36872.22,2503.2042322307566,8973.669999999998,0.9072952522752492,1.1021770448950026
2021-01-03,39860.087499999994,956642.0999999999,44422.82,35455.94,2557.9818453944094,8966.879999999997,0.8972885444913221,1.1144687025586686
2021-01-04,39677.022500000014,952248.5400000003,45385.08,35623.03,2784.9333699409885,9762.050000000003,0.8742305290637367,1.1438630507115293
2021-01-05,39416.46041666667,945995.05,44873.3,34646.35,3024.705745369909,10226.950000000004,0.8783945111383978,1.1384406292612208
2021-01-06,38696.36458333332,928712.7499999998,43295.6,32364.34,3607.2223543691734,10931.259999999998,0.8937712973912666,1.1188544574196921
2021-01-07,41614.13666666668,998739.2800000003,45855.42,35945.71,3305.552286658295,9909.71,0.9075074803952659,1.1019192916894183
2021-01-08,43632.31333333333,1.0471755199999999e6,48474.52,38622.81,3252.95474447953,9851.71,0.9001082080510201,1.1109775369844397
2021-01-09,44562.5825,1.06950198e6,50227.33,40130.48,2775.741190860012,10096.849999999999,0.8872178254348777,1.1271189231458927
2021-01-10,47726.088333333326,1.1454261199999999e6,55471.74,39529.47,5871.645366963141,15942.269999999997,0.8603676094049569,1.1622938719085611
2021-01-11,50256.737916666665,1.20616171e6,55798.18,45773.23,3182.0419596036245,10024.949999999997,0.9006877628744641,1.1102626695055675
2021-01-12,49363.344166666655,1.1847202599999998e6,58597.85,43886.72,4018.6839982175393,14711.129999999997,0.8424087942930782,1.1870721278962515
2021-01-13,45691.55166666666,1.0965972399999998e6,56375.79,39352.76,4808.214409196599,17023.03,0.8104817984221003,1.2338340008953517
2021-01-14,42437.07041666666,1.01848969e6,50235.45,38871.47,3272.418568757974,11363.979999999996,0.844763417400793,1.1837633820328608
2021-01-15,43930.051666666666,1.05432124e6,50378.09,38579.58,3524.772375476017,11798.509999999995,0.8720070901192695,1.1467796665084733
2021-01-16,42430.345,1.01832828e6,49163.07,37012.55,3407.565534908412,12150.519999999997,0.8630532023325639,1.1586771212913776
2021-01-17,39665.01500000001,951960.3600000001,44210.36,35802.86,2254.0372112278897,8407.5,0.8971882382319439,1.11459330092274
2021-01-18,40850.44708333333,980410.73,46618.18,36684.92,2906.33366929132,9933.260000000002,0.8762771751993178,1.1411914269848924
2021-01-19,38830.4,931929.6000000001,43892.65,31675.19,4171.663644857539,12217.460000000003,0.8846674784958302,1.130368216654992
2021-01-20,40889.14791666666,981339.5499999999,45368.78,34179.62,3857.9031471073367,11189.159999999996,0.9012617909643297,1.1095555254040257
2021-01-21,39454.90416666665,946917.6999999997,42249.38,34780.16,2588.085854894234,7469.219999999994,0.9338575895472704,1.0708270845502206
