date,north_mean,north_daily,north_max,north_min,north_std,north_range,north_load_factor,north_peak_ratio
2021-01-01,887.2678260869565,20407.16,934.5,819.55,38.70134281867206,114.95000000000005,0.9494572777816549,1.053233276947895
2021-01-02,799.37875,19185.09,885.48,694.29,52.291569551847,191.19000000000005,0.9027631905858968,1.1077102062070077
2021-01-03,778.2158333333333,18677.18,884.69,681.0,55.34355144216789,203.69000000000005,0.8796480499760744,1.1368182991222444
2021-01-04,783.0079166666666,18792.19,927.8,706.04,64.35182062078853,221.76,0.8439404146008478,1.1849177770126846
2021-01-05,779.1270833333333,18699.05,945.52,705.15,70.32608758825572,240.37,0.8240196752404321,1.2135632558873313
2021-01-06,806.1987499999997,19348.769999999993,897.64,667.17,82.86398443087849,230.47000000000003,0.8981314892384471,1.1134227136918786
2021-01-07,842.445,20218.68,932.22,749.29,57.15017014695658,182.93000000000006,0.903697625024136,1.1065648202553282
2021-01-08,856.2562500000003,20550.150000000005,942.78,758.64,63.75428625403054,184.14,0.9082248774899767,1.1010488974533028
2021-01-09,869.6704166666665,20872.089999999997,1012.84,745.76,74.24132228483981,267.08000000000004,0.8586454096073086,1.1646251046253637
2021-01-10,896.7966666666667,21523.120000000003,986.83,788.02,70.79203551780118,198.81000000000006,0.9087651030741533,1.1003943666159923
2021-01-11,892.7566666666665,21426.159999999996,1021.78,790.55,71.71459609280124,231.23000000000002,0.8737268948958353,1.1445223969204001
2021-01-12,893.8379166666667,21452.11,1099.0,761.94,92.77742032174625,337.05999999999995,0.8133193054291781,1.229529402935189
2021-01-13,855.6679166666668,20536.030000000002,1061.53,736.27,91.50404267520534,325.26,0.8060704046674769,1.240586422984384
2021-01-14,819.0033333333334,19656.08,949.74,744.14,63.07932774218349,205.60000000000002,0.86234478208071,1.1596289799390314
2021-01-15,861.4666666666664,20675.199999999993,973.84,771.42,60.36327343435033,202.42000000000007,0.8846080122675863,1.1304442036836408
2021-01-16,821.2475000000001,19709.940000000002,953.52,728.23,63.328157639394504,225.28999999999996,0.8612797843778841,1.1610628951686306
2021-01-17,778.4995833333332,18683.989999999998,846.32,707.42,39.21333219146228,138.9000000000001,0.9198643342155842,1.0871168310409074
2021-01-18,810.2270833333332,19445.449999999997,974.03,715.94,74.85827597819451,258.0899999999999,0.8318297006594594,1.2021691449670746
2021-01-19,776.4166666666666,18634.0,853.36,658.06,67.27127371075017,195.30000000000007,0.9098348489109714,1.099100568852635
2021-01-20,819.4754166666668,19667.410000000003,897.6,709.77,63.041585928183785,187.83000000000004,0.9129628082293525,1.0953348712413071
2021-01-21,785.1020833333332,18842.449999999997,856.82,714.77,44.61274598325758,142.05000000000007,0.9162975693066608,1.0913485242099623
2021-01-22,771.0220833333332,18504.529999999995,835.39,663.37,60.65125390145566,172.01999999999998,0.9229486627004551,1.0834838820548267
2021-01-23,753.5408333333334,18084.98,828.36,682.66,45.76856144414709,145.70000000000005,0.9096779580536642,1.0992901291569026
2021-01-24,713.0266666666666,17112.64,788.87,638.59,47.67494252673553,150.27999999999997,0.9038582613949911,1.1063681582736504
2021-01-25,719.9008333333333,17277.62,806.7,621.92,59.62914219805081,184.7800000000001,0.8924021734639063,1.1205710045712316
2021-01-26,798.9683333333332,19175.239999999998,943.1,690.07,74.50473388325399,253.02999999999997,0.8471724454812143,1.1803972205823763
2021-01-27,869.6195833333331,20870.869999999995,998.61,757.73,73.67885629565808,240.88,0.8708300370848812,1.148329705469873
2021-01-28,912.7020833333335,21904.850000000002,1108.13,796.43,90.08128739615834,311.70000000000016,0.8236417056963834,1.2141201606037018
2021-01-29,831.0837500000001,19946.010000000002,994.3,756.09,71.36343411582956,238.20999999999992,0.8358480840792519,1.1963896538706236
2021-01-30,706.1991666666667,16948.78,770.23,669.81,30.431146218059677,100.42000000000007,0.9168679052577369,1.0906696529189712
2021-01-31,754.3000000000001,18103.2,849.34,666.69,57.79597225322584,182.64999999999998,0.8881013492829727,1.125997613681559
2021-02-01,811.3854166666666,19473.25,994.72,716.03,79.1932997813175,278.69000000000005,0.8156922718620985,1.225952524617103
2021-02-02,774.06625,18577.59,903.93,697.27,59.12500176027206,206.65999999999997,0.8563342847344374,1.16776826272945
2021-02-03,756.0975,18146.34,901.36,678.84,62.47803650605686,222.51999999999998,0.8388407517529066,1.1921213864614022
2021-02-04,703.5225,16884.54,795.12,590.53,66.45663504349545,204.59000000000003,0.8848004074856626,1.1301983945076384
2021-02-05,778.44375,18682.65,904.91,710.68,59.92783020560792,194.23000000000002,0.860244388944757,1.1624603576045154
2021-02-06,796.2045833333332,19108.909999999996,874.6,732.54,43.14109792591774,142.06000000000006,0.9103642617577558,1.0984613983738478
2021-02-07,811.0749999999999,19465.8,920.81,723.55,56.73718158238955,197.26,0.8808277494814348,1.1352957494682983
2021-02-08,859.9820833333333,20639.57,930.83,749.27,64.58703113724295,181.56000000000006,0.9238873729180767,1.08238301476242
2021-02-09,1048.9545833333336,25174.910000000007,1146.51,849.9,103.79472039765575,296.61,0.914910976208959,1.0930025171887403
2021-02-10,1147.475416666667,27539.410000000003,1229.91,1022.01,71.05650745704261,207.9000000000001,0.9329751092898397,1.0718399559031946
2021-02-11,1190.2891666666667,28566.94,1285.15,1078.86,64.42758732073565,206.2900000000002,0.9261869561270409,1.0796956201819305
2021-02-12,1208.0516666666665,28993.239999999998,1289.66,1097.85,63.20532852238955,191.81000000000017,0.9367210479247758,1.0675536780297754
2021-02-13,1206.4458333333334,28954.7,1334.35,1094.32,65.2266988491187,240.02999999999997,0.9041449644645959,1.1060173305197427
2021-02-14,1310.9554166666667,31462.93,1421.3,1151.88,98.55339351707724,269.41999999999985,0.9223636225052183,1.0841711182016422
2021-02-15,1094.1741666666667,26260.18,1343.48,957.89,106.35392071498482,385.59000000000003,0.8144327914570121,1.2278484001252086
2021-02-16,1075.4095833333333,25809.83,1120.38,1013.14,30.73719478574945,107.24000000000012,0.9598614606948832,1.0418170131302686
2021-02-17,1056.9445833333334,25366.670000000002,1100.07,1014.56,23.331836987475842,85.50999999999999,0.9607975704576377,1.040801965729045
2021-02-18,1033.0587500000001,24793.410000000003,1127.25,931.25,54.94097032369098,196.0,0.916441561321801,1.0911770506759657
2021-02-19,944.9004166666667,22677.61,1127.2,774.06,104.68137625481168,353.1400000000001,0.8382721936361486,1.1929299427937952
2021-02-20,822.6912500000002,19744.590000000004,1009.03,646.88,116.97262709571807,362.15,0.8153288306591481,1.2264990055503808
2021-02-21,669.6395833333333,16071.35,738.0,575.85,50.760401331127206,162.14999999999998,0.907370709123758,1.102085387973008
2021-02-22,658.05875,15793.41,843.88,578.03,76.14366246216538,265.85,0.7798013343129355,1.282377903188735
2021-02-23,622.6045833333333,14942.509999999998,755.86,554.99,55.103137445526464,200.87,0.8237035738540646,1.214028968359399
2021-02-24,587.8691666666667,14108.86,660.24,488.27,57.65122668604543,171.97000000000003,0.8903870814653259,1.123107040540483
2021-02-25,754.3583333333332,18104.6,847.04,600.82,81.22585916505561,246.2199999999999,0.8905817120010073,1.1228615931862622
2021-02-26,760.1104166666665,18242.649999999998,858.44,708.67,49.507557831381035,149.7700000000001,0.8854554967926314,1.1293622362979066
2021-02-27,710.12,17042.88,774.66,647.41,37.41440747835681,127.25,0.9166860300002582,1.0908860474286035
2021-02-28,661.5158333333334,15876.380000000001,760.01,564.57,62.53436418180958,195.43999999999994,0.8704041174896823,1.1488916239092286
2021-03-01,758.6137499999996,18206.729999999992,861.35,668.52,63.50035479616732,192.83000000000004,0.8807264758808843,1.1354262956610006
2021-03-02,732.0025,17568.06,911.87,639.45,75.4017083332017,272.41999999999996,0.802748747080176,1.24571978920837
2021-03-03,718.1833333333333,17236.399999999998,883.03,645.77,68.90672603420963,237.26,0.8133170258466115,1.2295328490868163
2021-03-04,690.97125,16583.31,802.98,628.5,50.657067605316115,174.48000000000002,0.86050866771277,1.162103343662996
2021-03-05,692.6279166666667,16623.07,751.86,588.95,60.54184223071185,162.90999999999997,0.9212192651114126,1.0855178977168478
2021-03-06,687.6558333333332,16503.739999999998,796.92,614.1,55.042521501003264,182.81999999999994,0.8628919255801502,1.1588936810686548
2021-03-07,684.2433333333333,16421.84,780.07,623.36,45.86569132346868,156.71000000000004,0.8771563235777985,1.1400476438693838
2021-03-08,705.8295833333332,16939.909999999996,817.34,632.72,49.9732830776403,184.62,0.8635691185226871,1.1579849007462262
2021-03-09,685.3116666666665,16447.479999999996,738.94,610.92,44.687574643699705,128.0200000000001,0.9274253209552419,1.078253933125318
2021-03-10,677.8629166666666,16268.71,739.83,583.67,55.51709368404644,156.16000000000008,0.9162414563706075,1.0914153611441844
2021-03-11,672.8870833333332,16149.289999999997,741.56,570.15,56.38847018127074,171.40999999999997,0.9073939847528631,1.102057118300557
2021-03-12,672.64875,16143.569999999998,726.96,572.25,57.609896365460756,154.71000000000004,0.925289905909541,1.0807423636779228
2021-03-13,645.8741666666666,15500.98,697.82,575.44,41.33661445894591,122.38,0.9255598387358726,1.0804271729916433
2021-03-14,621.3813043478261,14291.77,683.45,550.88,43.722507029545056,132.57000000000005,0.9091832677559822,1.0998882573677018
2021-03-15,651.7599999999999,15642.239999999998,710.03,568.61,45.45818900732945,141.41999999999996,0.917933045082602,1.089404075119676
2021-03-16,684.9108333333334,16437.86,756.17,592.77,55.10445692671697,163.39999999999998,0.9057630338856784,1.104041523653322
2021-03-17,686.0420833333334,16465.010000000002,753.49,605.85,45.67461848479835,147.64,0.9104859830035347,1.0983145470303388
2021-03-18,749.9183333333335,17998.040000000005,853.62,687.76,57.41397910876279,165.86,0.878515420600892,1.1382839464741714
2021-03-19,728.7137499999999,17489.129999999997,872.89,647.9,70.77197669505979,224.99,0.8348288444133853,1.1978503218856513
2021-03-20,677.75375,16266.089999999998,769.42,637.9,41.654670786954554,131.51999999999998,0.8808631826570663,1.1352500816114997
2021-03-21,671.1591666666667,16107.82,739.32,620.6,34.93684313115618,118.72000000000003,0.9078060469981424,1.101556883550971
2021-03-22,706.4933333333335,16955.840000000004,775.73,585.22,70.28715923711235,190.51,0.9107464366897419,1.0980004529412872
2021-03-23,710.99625,17063.91,822.94,652.61,48.78466578506887,170.33000000000004,0.8639709456339466,1.1574463297098965
2021-03-24,712.9170833333333,17110.01,799.9,626.97,54.40569435343794,172.92999999999995,0.89125776138684,1.1220098644010144
2021-03-25,694.1320833333333,16659.17,771.76,612.96,49.70471817156288,158.79999999999995,0.8994144336754085,1.1118345031595211
2021-03-26,700.6025,16814.46,795.23,636.44,44.148946538221985,158.78999999999996,0.881006124014436,1.1350658897163515
2021-03-27,652.2425,15653.82,721.0,564.71,52.48627251171407,156.28999999999996,0.904635922330097,1.1054170803037215
2021-03-28,626.1116666666667,15026.68,692.35,547.54,46.34743346082711,144.81000000000006,0.9043282540141065,1.1057931625615238
2021-03-29,677.9029166666666,16269.669999999998,743.81,566.87,62.7126732548961,176.93999999999994,0.9113925823350945,1.0972220088053415
2021-03-30,668.6945833333333,16048.669999999998,734.33,574.62,53.29891319384411,159.71000000000004,0.9106186364894983,1.0981545511247974
2021-03-31,670.6945833333333,16096.669999999998,737.35,584.79,50.82823513339177,152.56000000000006,0.9096013878528966,1.0993826673467246
2021-04-01,683.0162499999998,16392.389999999996,801.77,603.03,55.30413199536605,198.74,0.8518855157963005,1.1738666539778522
2021-04-02,671.2291666666665,16109.499999999996,751.11,605.88,41.71682341450631,145.23000000000002,0.8936496207834624,1.1190067972314475
2021-04-03,629.6741666666668,15112.180000000002,667.18,579.33,28.96489643279117,87.84999999999991,0.9437845359073516,1.0595638749670793
2021-04-04,598.2479166666666,14357.949999999999,669.3,521.85,46.71030972495739,147.44999999999993,0.8938412022511081,1.1187669548925858
2021-04-05,673.5629166666666,16165.51,775.08,533.66,88.63344145014962,241.42000000000007,0.869023735184325,1.1507165564216657
2021-04-06,710.7400000000001,17057.760000000002,822.61,567.9,90.25906145043302,254.71000000000004,0.8640060295887482,1.1573993302754872
2021-04-07,680.2291666666665,16325.499999999996,732.5,598.59,44.27396476256786,133.90999999999997,0.928640500568828,1.0768429757128422
2021-04-08,678.2300000000001,16277.520000000002,770.24,558.36,72.22846090854624,211.88,0.8805437266306607,1.135661943588458
2021-04-09,696.4491666666667,16714.78,813.27,565.11,85.63803086076972,248.15999999999997,0.8563566425254425,1.167737774592307
2021-04-10,615.1833333333334,14764.400000000001,655.3,547.99,36.91722240560533,107.30999999999995,0.9387812197975484,1.0652109127360405
2021-04-11,638.8258333333334,15331.820000000002,756.94,545.16,70.37738791479936,211.7800000000001,0.8439583498471919,1.1848925959214234
2021-04-12,665.6529166666667,15975.67,756.27,536.28,78.03523950220611,219.99,0.8801789263975388,1.1361326316830531
2021-04-13,666.4341666666666,15994.419999999998,736.56,557.54,61.03339911860566,179.01999999999998,0.9047927754244958,1.105225447374772
2021-04-14,659.4195833333333,15826.07,716.86,556.8,55.58350564527971,160.06000000000006,0.9198721972677137,1.0871075383844504
2021-04-15,665.9720833333333,15983.33,722.72,570.07,53.74722706531142,152.64999999999998,0.9214800798834034,1.08521065384998
2021-04-16,669.2775,16062.66,722.61,566.5,58.18633376452346,156.11,0.926194627807531,1.079686677050999
2021-04-17,647.8166666666666,15547.599999999999,715.08,602.48,34.04072199033371,112.60000000000002,0.9059359325763083,1.1038308163317814
2021-04-18,629.5300000000001,15108.720000000001,683.31,596.49,26.59818774473831,86.81999999999994,0.921294873483485,1.085428811970835
2021-04-19,659.0529166666666,15817.27,739.2,562.79,53.08413522760185,176.41000000000008,0.8915759154040404,1.1216094812821682
2021-04-20,682.6475,16383.54,760.82,564.98,67.66358324701764,195.84000000000003,0.897252306721695,1.1145137131535676
2021-04-21,722.5895833333334,17342.15,870.4,660.2,61.54962624681962,210.19999999999993,0.8301810470281864,1.2045565284581208
2021-04-22,680.99375,16343.85,738.74,585.82,54.18576379797156,152.91999999999996,0.9218314291902429,1.0847970337466386
2021-04-23,659.5074999999999,15828.179999999998,707.54,588.5,39.678769731322376,119.03999999999996,0.9321133787489047,1.0728308624238543
