"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-01","3.2",",,W","0.0",",,W,2400","0.0",",,W","12.2",",,W","-0.5",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-02","2.5",",,W","0.0",",,W,2400","0.0",",,W","18.3",",,W","0.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-03","4.3",",,W","0.0",",,W,2400","0.0",",,W","21.1",",,W","-0.5",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-04","2.1",",,W","0.0",",,W,2400","0.0",",,W","25.6",",,W","0.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-05","2.9",",,W","0.0",",,W,2400","0.0",",,W","22.2",",,W","6.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-06","4.3",",,W","8.9",",,W,2400","0.0",",,W","22.2",",,W","10.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-07","4.5",",,W","0.0",",,W,2400","0.0",",,W","17.2",",,W","2.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-08","3.6",",,W","0.0",",,W,2400","0.0",",,W","11.7",",,W","0.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-09","2.5",",,W","0.3",",,W,2400","0.0",",,W","12.8",",,W","-3.2",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-10","5.1",",,W","27.2",",,W,2400","33.0",",,W","7.8",",,W","0.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-11","3.0",",,W","0.0",",,W,2400","0.0",",,W","10.0",",,W","-2.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-12","1.7",",,W","0.0",",,W,2400","0.0",",,W","10.6",",,W","-4.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-13","2.6",",,W","0.0",",,W,2400","0.0",",,W","18.9",",,W","-3.2",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-14","4.9",",,W","0.0",",,W,2400","0.0",",,W","21.7",",,W","1.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-15","4.4",",,W","0.0",",,W,2400","0.0",",,W","16.1",",,W","3.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-16","1.6",",,W","0.0",",,W,2400","0.0",",,W","17.8",",,W","3.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-17","1.7",",,W","0.0",",,W,2400","0.0",",,W","20.6",",,W","2.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-18","4.0",",,W","0.0",",,W,2400","0.0",",,W","25.0",",,W","3.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-19","5.1",",,W","3.3",",,W,2400","0.0",",,W","22.2",",,W","10.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-20","3.7",",,W","2.5",",,W,2400","0.0",",,W","13.9",",,W","9.4",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-01-21","2.0",",,W","0.0","T,,W,2400","0.0",",,W","19.4",",,W","10.0",",,W"
